Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,Service Name,WSDL Address
182.0,92,15.7,97,67,78,72,54.0,11,PixelsToXYService,http://www.viamichelin.com/ws/services/PixelsToXY?wsdl
3111.67,99,2.1,100,67,100,77,4.34,87,RadioMallWS,http://ws.strikeiron.com/RadioMallWS?WSDL
539.72,23,4.0,24,60,78,83,146.94,10,IXMLWSservice,http://ccs.fax.de/xmlws3.exe/wsdl/IXMLWS
84.71,18,4.8,19,72,89,86,2.92,65,InTouchService,http://soapintouch.acdnet.com/intouchservice.asmx?wsdl
221.0,18,4.3,18,60,78,79,11.35,2,AmazonSearchService,http://webservices.amazon.com/schemas3/AmazonWebServices.wsdl
105.92,9,9.3,10,67,89,77,54.08,11,GenericXsltCallback,http://ws2.adam.com/webservices/externalwebservices/GenericXsltCallback.asmx?WSDL
437.8,95,10.4,98,73,100,84,12.6,33,needleService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/needle.wsdl
154.0,98,14.0,99,73,100,80,3.0,4,BaseformService,http://wortschatz.uni-leipzig.de/axis/services/Baseform?wsdl
93.5,86,9.0,86,73,78,84,3.0,36,DotnetDailyFact,http://www.xmlme.com/WSDailyNet.asmx?wsdl
628.0,90,20.2,97,73,100,84,17.0,5,engtoarabic,http://www.closerfar.com/engtoarabic.asmx?WSDL
136.0,56,5.3,57,50,89,66,7.0,2,UpdateService,http://www.msdomino.net/orders.nsf/order_update?wsdl
190.0,98,3.7,99,89,78,93,17.75,6,eUtilsService,http://www.ncbi.nlm.nih.gov/entrez/eutils/soap/eutils_lite.wsdl
85.25,78,9.2,78,73,89,84,3.5,89,UtilityService,http://www.fmnsoft.com/UtilityService.asmx?wsdl
179.0,85,1.1,95,60,100,74,47.0,76,BusinessOrGovernmentalLookup,http://ws.strikeiron.com/RatchetSoft.StrikeIron/BusinessOrGovernmentalLookup?WSDL
127.5,98,12.4,100,73,89,75,11.0,9,WSDLInteropTestRpcEncService,http://www.whitemesa.com/r3/interoptestrpcenc.wsdl
803.0,83,1.2,84,83,89,91,445.0,57,Test Response Service,http://ww.cyberkni.net/links/testing.wsdl
1316.75,88,3.8,96,80,100,87,308.0,7,Service1,http://ao.sa.dk/LAView/ImageServer/Service1.asmx?WSDL
78.82,88,17.1,96,73,78,62,33.09,4,SkyNodeWS,http://skyservice.pha.jhu.edu/SkyNode/TwoQZ/SkyNodeWS.asmx?wsdl
315.85,90,9.9,97,72,89,86,1.65,4,IClientDataservice,http://qc.borland.com/coBugCGI.EXE/wsdl/IClientData
256.39,85,5.1,86,53,89,66,77.13,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/services/edit.entret?wsdl
158.9,61,3.5,61,67,78,72,41.0,8,SoapTest,http://mssoapinterop.org/asmx/simpleB.asmx?wsdl
416.33,46,5.1,46,83,89,91,6.33,7,PML,http://xml.nig.ac.jp/wsdl/PML.wsdl
57.0,91,27.3,97,83,89,93,14.0,8,DispatcherAPIService,http://tbe.taleo.net/wsdl/DispatcherAPI.wsdl
338.82,85,0.4,85,53,89,66,140.68,3,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/hmm.ehmmsearch?wsdl
575.5,86,6.4,95,67,100,82,1.0,88,EmailVerify,http://ws.strikeiron.com/EmailVerify?WSDL
147.0,94,27.0,98,89,78,93,3.0,9,eUtilsService,http://www.ncbi.nlm.nih.gov/entrez/eutils/soap/efetch_lit.wsdl
247.4,92,0.9,97,67,100,82,42.6,11,fuzztranService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_motifs.fuzztran.derived?wsdl
232.2,87,2.2,95,73,100,84,7.8,38,equicktandemService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/equicktandem.wsdl
171.0,86,16.5,95,73,100,80,2.0,8,Batch,http://validator2.addressdoctor.com/addBatch/Batch.asmx?WSDL
260.0,83,15.5,84,73,89,84,10.0,11,RandomBushismService,http://greg.froh.ca/fun/random_bushism/soap/index.php?wsdl
469.0,98,13.1,100,67,78,77,0.67,93,XigniteArchive,http://www.xignite.com/xArchive.asmx?wsdl
107.0,85,33.3,95,80,100,87,1.0,4,InteropTestExtensibilityRequired,http://mssoapinterop.org/asmx/WSDL/InteropTestExtensibilityRequired.wsdl
127.2,94,20.3,98,73,78,84,15.8,3,SendCustomForm,http://www.viphousesearch.com/Apps/WebService/SendCustomForm.asmx?WSDL
247.8,99,6.5,100,73,89,62,1.2,5,Service1,http://visualprog.cz/Database/service1.asmx?wsdl
180.59,95,11.8,98,67,78,82,35.71,64,erez3,http://library.barebilligst.dk/erez3/erez?cmd=expand&vtl=soap/erez3.wsdl
252.0,92,13.1,97,80,78,87,1.0,39,SendSMSWorld,http://www.webservicex.com/sendsmsworld.asmx?WSDL
308.0,93,12.9,98,78,78,89,1.0,11,logon,http://www.afmadata.com.au/websvc/logon.wsdl
154.0,83,23.5,84,83,89,91,5.0,9,SerClsPeticionSOAPStratusMobipayservice,http://sas-d.sermepa.es/TPV_PC/wsdl/SerClsPeticionSOAPStratusMobipay.wsdl
262.5,92,6.9,97,60,100,74,83.5,5,DNS,http://ws.strikeiron.com/relauto/iplookup/DNS?wsdl
303.2,51,5.6,51,83,89,91,6.6,37,Blast,http://xml.nig.ac.jp/wsdl/Blast.wsdl
116.0,98,16.7,100,67,78,77,1.33,92,XigniteNote,http://www.xignite.com/xNote.asmx?wsdl
119.0,92,14.0,97,73,78,80,42.25,89,Articles,http://netservice.fossware.com/Articles.asmx?wsdl
371.45,19,1.1,20,42,78,72,61.07,7,PayPalAPIInterfaceService,http://www.sandbox.paypal.com/wsdl/PayPalSvc.wsdl
407.0,78,4.2,79,73,78,80,48.25,24,Rss,http://www.wopos.com/webservice/Rss.asmx?wsdl
1479.78,65,2.8,65,73,89,80,44.0,87,ArticleArchive,http://www.basicpro.de/xmlwebservices/articlearchive.asmx?wsdl
46.05,89,20.7,96,67,100,77,4.48,8,AWSMechanicalTurkRequester,http://mechanicalturk.amazonaws.com/AWSMechanicalTurk/2005-10-01/AWSMechanicalTurkRequester.wsdl
163.25,87,1.7,95,73,100,80,0.25,42,BirdwellMusicServices,http://www.birdwellmusic.com/BirdwellMusicServices.asmx?wsdl
79.12,70,5.3,70,73,89,84,2.87,7,MathService,http://brwcse.fau.edu/csclub/MathWebService/MathService.asmx?wsdl
116.75,56,4.9,57,73,89,80,2.0,37,AvvioAPI,http://www.avvio.com/xml/apiv1.wsdl
117.67,94,3.0,95,78,33,89,7.84,4,Interop,http://mssoapinterop.org/stk/Interop1999.wsdl
206.0,98,2.1,100,67,89,82,10.25,59,SendSmsService,http://gw1.aql.com/soap/sendservice.php?WSDL
500.0,97,10.1,99,73,78,84,1.0,33,USWeather,http://www.webservicex.net/usweather.asmx?WSDL
1336.75,47,3.0,48,67,89,72,41.5,34,Webservices.nl,http://ws1.webservices.nl/business/soap?wsdl
356.96,85,2.2,85,53,89,66,133.7,7,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_molecular_sequence.fdnapenny?wsdl
787.47,95,4.5,96,58,100,75,84.6,9,CotizadorService,http://www.lacaja.com.ar/wstst/services/Cotizador/wsdl/Cotizador.wsdl
96.0,83,21.8,84,67,89,72,4.0,4,paddleService,http://www.terawave.ca/webservices/paddle.cfc?wsdl
103.67,97,4.7,99,73,100,75,2.0,96,SearchService,http://www.phdcc.com/findinsite/SearchService.asmx?wsdl
310.25,22,2.8,22,42,78,74,194.3,5,NamebankServiceService,http://names.mbl.edu/soap/index.php?wsdl
507.0,89,2.2,96,73,100,84,42.8,5,fdiscbootService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_molecular_sequence.fdiscboot.derived?wsdl
260.69,78,4.7,78,67,78,84,27.46,5,HotelFunctionsService,http://www.travelnow.com/services/HotelServices200520?WSDL
297.38,71,1.9,72,73,89,75,6.38,66,AccountServiceNoHeader,http://www.esendex.com/secure/messenger/soap/AccountServiceNoHeader.asmx?wsdl
248.8,88,1.1,96,67,100,82,42.4,8,trimestService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.trimest.derived?wsdl
173.88,99,3.0,100,73,100,87,1.5,95,XmlSelect,http://copyws.cendant.com/B2BGateway/service/XMLSelect?WSDL
98.33,99,5.5,100,73,100,80,46.66,67,CongressionalDirectory,http://www.strikeiron.com/webservices/congress.asmx?wsdl
1015.0,83,1.3,84,73,89,75,4.0,7,SOAPService,http://www.bioinfo.tsinghua.edu.cn/~tigerchen/SubLoc.wsdl
303.0,91,12.3,97,78,89,89,5.0,5,ISecretaryXMLBrokerservice,http://140.129.79.217/WS/WSProvider_SecretaryXMLFormBroker.exe/wsdl/ISecretaryXMLBroker
181.36,98,12.6,99,73,100,84,17.63,90,ManageLoginsAndRanges,http://webservices.kull.ch/Numbering/ManageLoginsAndRanges.asmx?WSDL
581.0,83,15.6,84,50,89,66,116.0,2,GetPersonInfoService,http://oscar.snapps.com/portal.nsf/GetPersonInfoComplex?WSDL
163.0,96,16.2,99,73,78,84,12.25,86,MortgageIndex,http://www.webservicex.net/MortgageIndex.asmx?wsdl
437.8,90,7.3,97,60,89,69,256.07,4,Sisu,http://62.61.91.207/webservices/Sisu?WSDL
440.06,91,7.0,97,60,89,69,182.3,4,Sisu,http://cedemo.hotelzon.com/hsi_1.15/dispatcher?WSDL
149.0,96,24.2,99,89,78,93,1.5,7,eUtilsService,http://www.ncbi.nlm.nih.gov/entrez/eutils/soap/efetch.wsdl
2262.33,63,2.9,63,73,89,75,5.66,58,GeoCode_Service,http://rpc.geocoder.us/dist/eg/clients/GeoCoder.wsdl
137.0,83,21.6,84,73,89,84,7.0,62,myService,http://www.ccp4.ac.uk/ccp4/wsdl/matthews.wsdl
174.11,60,7.5,61,60,89,74,104.28,88,ContactService,http://www.fmnsoft.com/ContactService.asmx?wsdl
167.0,85,24.6,95,73,100,84,2.0,5,Service1,http://www.milan.sk/WebService1/Service1.asmx?wsdl
632.0,72,13.1,72,78,89,89,122.5,3,GetPersonInfoService,http://oscar.snapps.com/portal.nsf/GetPersonInfo?WSDL
837.25,78,5.7,78,73,89,80,55.0,90,NewsService,http://www.dotnetpro.de/xmlwebservices/news.asmx?wsdl
314.0,63,5.4,63,73,89,75,11.67,34,SkyBoT,http://www.imcce.fr/webservices/skybot/skybot.php?wsdl
503.0,16,5.0,16,67,89,72,43.71,93,Service,http://rsdn.ru/ws/service.asmx?wsdl
123.0,99,7.5,100,80,89,83,2.5,7,WSDLInteropTestDocLitService,http://www.whitemesa.com/r3/InteropTestDocLitParameters.wsdl
101.0,86,22.5,86,73,89,80,2.5,6,CityLocations,http://asyncpostback.com/CityLocations.asmx?WSDL
471.5,56,3.2,57,73,89,62,5.75,32,FindService,http://lbs.wheresoft.com/api/wssp/findservice.asmx?wsdl
305.7,86,5.5,86,53,89,66,91.18,4,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/services/nucleic_codon_usage.cai?wsdl
604.33,63,6.8,63,67,78,72,6.66,7,BankServiceService,http://www.arikan.at/axis/services/BankService?wsdl
641.5,96,4.4,99,73,78,84,33.5,87,ICD10,http://www.webservicex.com/icd10.asmx?WSDL
335.3,85,2.4,86,53,89,66,100.3,11,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_molecular_sequence.frestboot?wsdl
191.0,83,21.0,84,67,89,72,12.0,37,wsdl,http://sugartech.co.za/soap/wsdlserver.php?wsdl
599.0,92,3.6,97,67,89,72,9.67,10,HostService,http://www.usfnet.com/WebServices/HostService?WSDL
220.8,90,14.6,97,58,100,75,8.4,35,pepwheelService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pepwheel.wsdl
3347.0,83,5.6,84,83,89,91,2.0,3,OTNGUIDGenerator,http://webservices.oracle.com/ws/guid/oracle.ws.OTNGUIDGenerator?WSDL
99.0,60,0.8,60,53,89,66,3.75,5,PropertyInformation,http://www.co.larimer.co.us/webservices/PropertyInformation.cfc?wsdl
213.4,98,4.0,99,73,100,84,6.0,38,whichdbService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/whichdb.wsdl
242.67,99,9.6,100,73,100,80,45.0,5,YourHost,http://www.esynaps.com/webservices/YourHostInfo.asmx?WSDL
356.0,84,4.7,84,73,89,75,72.0,2,AuthenticationService,http://mobilenavigation.siemensvdo.com/mnp/services/Authentication?wsdl
236.67,63,6.4,63,53,89,66,8.67,67,SubjectBrowserService,http://www.statsbiblioteket.dk/netbibservices/services/SubjectBrowser?wsdl
131.38,99,15.4,100,60,89,69,12.19,7,MainService,http://www.infoknowledgebase.com/servlet/services/Main?wsdl
3439.83,66,1.6,67,73,89,75,157.5,6,BlastbtService,http://staff.vbi.vt.edu/pathport/services/wsdls/clusterblast.wsdl
205.5,73,1.9,73,60,78,74,27.0,33,VinService,http://webservice.vinexplosion.com/VinService.asmx?wsdl
166.0,86,25.7,95,73,89,62,100.0,89,NRA_x0020_ILA_x0020_News_x0020_and_x0020_Updates_x0020_Syndication,http://www.nraila.org/Services/HuntingAndConservation.asmx?WSDL
136.17,89,8.4,96,73,56,75,11.17,7,DimeInterop,http://mssoapinterop.org/stkv3/dime/dimeinterop.wsdl
125.0,94,24.1,98,73,89,62,2.0,33,RGen,http://www.mrrcomputers.cc/Applications/randomgen.asmx?WSDL
302.33,53,6.0,54,67,89,72,12.03,12,GraypotService,http://graypot.dyndns.ws/axis/services/GraypotService?wsdl
220.6,90,1.3,96,73,100,84,9.2,37,btwistedService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/btwisted.wsdl
464.0,67,2.2,67,80,89,83,38.42,8,Service,http://macrowebservices.com/clients/sdg/ws/service.asmx?WSDL&v=7
512.25,92,6.8,93,80,78,83,46.37,92,ExchangeRates,http://webservices.lb.lt/ExchangeRates/ExchangeRates.asmx?wsdl
210.6,88,0.7,96,73,100,84,6.6,40,biosedService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/biosed.wsdl
100.56,99,14.1,100,73,78,80,1.23,91,DOTSAddressValidate,http://trial.serviceobjects.com/av/AddressValidate.asmx?wsdl
317.25,78,2.8,79,73,78,84,36.75,94,SearchVecerCom,http://www.gama-system.com/webservices/searchvecercom.asmx?wsdl
353.26,85,2.5,86,53,89,66,113.91,4,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_molecular_sequence.frestml?wsdl
63.83,19,5.1,20,60,78,79,3.92,1,AmazonSearchService,http://soap.amazon.com/schemas2/AmazonWebServices.wsdl
301.8,98,1.2,100,73,100,84,8.2,31,cuspService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/cusp.wsdl
133.0,83,14.3,84,73,78,84,18.0,65,BlogReaderService,http://www.flash-db.com/services/ws/blogReader2.wsdl
56.17,97,11.3,97,83,78,91,7.17,3,AWSAlexa,http://awis.amazonaws.com/AWSAlexa/AWSAlexa.wsdl
46.0,72,15.4,72,73,78,84,3.0,4,XarayaSoap,http://xaraya.open-world.com.ve/ws.php?wsdl
174.0,83,19.3,84,73,89,75,4.0,11,SearchService,http://ws.acronyms.ch/search?WSDL
175.5,86,14.0,86,73,89,84,69.0,1,XmlHttpCheck,http://www.loopnet.com/xNet/MainSite/WebServices/XmlHttpUtility/XmlHttpCheck.asmx?wsdl
275.87,85,6.5,86,53,89,66,74.44,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_discrete_characters.ffactor?wsdl
311.0,83,15.2,84,60,89,69,7.0,9,remoteQuery,http://www.boeingcapital.com/einvite/hongkong/reports/remotequery.cfc?wsdl
84.0,95,22.4,99,50,89,77,1.0,2,GtsInterfacesService,http://www.myyellow.com/dynamic/services/content/ecommerce/etools/webservices/gtsimplbolpud.wsdl
174.5,99,2.5,100,80,78,87,1.0,96,TNM_Elevation_Service,http://gisdata.usgs.net/XmlWebServices/TNM_Elevation_service.asmx?WSDL
249.08,12,8.7,12,53,78,71,7.23,64,OnlineMessenger,http://myoms.net/soap/oms2.wsdl
67.5,86,6.0,86,73,78,80,1.5,95,check,http://ws.cdyne.com/spellchecker/check.asmx?wsdl
293.09,86,5.1,87,53,89,66,90.87,4,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.entret?wsdl
213.0,100,1.3,100,58,100,75,8.6,38,isochoreService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/isochore.wsdl
126.0,94,1.9,98,60,100,74,37.67,8,USAddressVerification,http://ws.strikeiron.com/USAddressVerification?WSDL
246.6,92,3.0,97,73,100,84,43.4,5,pdbtospService,http://www.ebi.ac.uk/soaplab/emboss4/services/utils_database_creation.pdbtosp.derived?wsdl
41.0,97,43.1,99,73,100,84,1.0,5,Service1,http://blackhole.cis.temple.edu/WSstafford/wstest1/Service1.asmx?wsdl
289.6,94,1.1,98,58,100,75,6.8,36,sycoService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/syco.wsdl
69.33,95,19.4,99,67,78,77,25.22,93,BlogService,http://www.dotnetjunkies.com/weblog/blogservice.asmx?wsdl
113.2,51,5.5,51,73,78,84,4.0,56,XMethodsQuery,http://hungmaow.org/files/query.wsdl
275.5,71,7.2,72,78,89,89,124.5,2,LottoDrawings,http://www.lottoexchange.net/LottoDrawings.php?wsdl
423.7,67,4.8,67,80,67,87,36.4,10,DatosArt,http://www.pci-baleares.com/PCIDatosArt/DatosArt.asmx?wsdl
398.17,66,2.8,66,80,89,83,70.75,5,Service,http://macrowebservices.com/clients/sdg/ws/service.asmx?WSDL&v=4
687.0,94,15.6,98,73,100,84,200.0,38,registration,http://www.psit.co.yu/PSITResearchServices/registration.asmx?WSDL
2835.56,97,2.0,99,73,78,62,13.45,89,Tiscali_x0020_Presence_x0020_Services,http://webservices.tiscali.com/PresenceServices.asmx?WSDL
321.4,88,2.8,96,73,100,84,38.4,7,seealsoService,http://www.ebi.ac.uk/soaplab/emboss4/services/display.seealso.derived?wsdl
164.0,71,11.2,72,83,89,91,24.0,58,IP2CountryService,http://www.flash-db.com/services/ws/ip2Country.wsdl
176.0,90,13.8,97,67,78,77,2.0,8,default_test,http://212.177.98.35/swapping/default.test.asmx?WSDL
86.75,94,23.0,98,73,78,80,18.75,93,SdssFields,http://skyservice.pha.jhu.edu/devel/sdssFields/sdssFields.asmx?wsdl
181.5,71,1.5,72,67,89,72,9.0,60,AccountService,http://www.esendex.com/secure/messenger/soap/AccountService.asmx?wsdl
132.73,86,14.3,95,73,78,62,34.91,11,SkyNodeWS,http://skyservice.pha.jhu.edu/SkyNode/FIRST/SkyNodeWS.asmx?WSDL
201.6,91,1.5,97,73,100,84,7.8,36,pscanService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pscan.wsdl
120.0,97,4.9,99,80,100,87,1.67,97,TGL_x0020_Web_x0020_Services_x0020_v1.0,http://www.greatlink.org/tgl.asmx?wsdl
365.5,61,2.1,62,73,67,84,101.6,94,TheHolyBible,http://francisshanahan.com/TheHolyBible.asmx?WSDL
123.0,91,7.0,91,67,78,66,7.83,4,DimeInterop,http://www.mssoapinterop.org/stkV3/dime/dime-rpc.wsdl
293.5,70,2.5,70,73,89,80,13.5,95,SendContentServiceNoHeader,http://www.esendex.com/secure/messenger/soap/SendContentServiceNoHeader.asmx?wsdl
236.0,83,17.2,84,89,78,93,7.0,8,codeService,http://revivalproject.pymesoft.net/soap/wsdl.asp
1284.0,94,8.2,98,67,100,82,1236.0,5,BGTBoundaryGeocoder,http://www.bgtboundarygeocoder.state.pa.us/BGTBoundaryGeocoder/BGTBoundaryGeocoder.asmx?WSDL
198.83,76,0.7,76,73,78,80,30.33,39,GeoBrokr,http://www.zipmgr.com/GeoBrokr.asmx?wsdl
429.38,20,1.0,21,42,78,72,141.0,3,PayPalAPIInterfaceService,http://www.paypal.com/wsdl/PayPalSvc.wsdl
304.44,97,9.2,99,67,100,77,9.0,61,TerraService,http://terraserver-usa.com/TerraService2.asmx?WSDL
79.65,61,13.3,61,67,100,77,2.75,3,AWSECommerceService,http://webservices.amazon.com/AWSECommerceService/US/AWSECommerceService.wsdl
227.0,97,15.7,99,80,100,87,3.0,2,EHCIntegrationService,http://new.ehealthcompete.com/webservices/eis.wsdl
161.0,100,12.5,100,73,100,80,5.0,8,RightNeighboursService,http://anonymous:anonymous@wortschatz.uni-leipzig.de/axis/services/RightNeighbours?wsdl
247.05,89,6.6,89,67,100,77,55.1,11,AWSECommerceService,http://webservices.amazon.com/AWSECommerceService/DE/AWSECommerceService.wsdl
315.4,98,2.0,100,67,100,82,44.6,9,needleService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_global.needle.derived?wsdl
138.06,100,11.0,100,60,78,69,2.06,83,InterFax,http://ws.interfax.net/dfs.asmx?WSDL
98.0,94,0.7,98,73,78,80,3.0,96,DOTSGeoCensus,http://ws2.serviceobjects.net/gce/geocensus.asmx?WSDL
115.0,98,17.9,100,73,100,83,2.0,9,Batch_Transfer,http://genolator1.arl.arizona.edu/august/ws/batch.wsdl
66.0,83,36.1,84,78,89,89,3.0,11,SecureLogin,http://www.tacsurv.com/TSSIPortal/Global/SecureLogin.asmx?wsdl
2511.0,98,6.0,100,73,78,84,29.0,42,RSStoHTML,http://www.webservicex.net/RssToHTML.asmx?WSDL
207.0,99,29.0,100,80,100,87,2.0,95,getJoke,http://www.interpressfact.net/webservices/getjoke.asmx?WSDL
111.33,95,11.0,99,67,78,77,31.8,96,ForumSecure,http://netservice.fossware.com/ForumSecure.asmx?wsdl
84.86,87,1.9,95,73,100,80,19.86,41,WolframSearchService,http://webservices.wolfram.com/services/SearchServices/WolframSearch2.wsdl
108.8,90,18.1,97,73,78,80,0.8,92,DOTSFraudProtection,http://ws2.serviceobjects.net/fp/FraudProtection.asmx?WSDL
243.07,89,4.6,89,53,89,66,59.53,4,edit__descseqService,http://www.ebi.ac.uk/soaplab/services/edit.descseq.derived?wsdl
105.5,56,9.4,56,83,89,91,33.25,2,RrnascanService,http://www.vbi.vt.edu/~pathport/services/wsdls/rrnascan.wsdl
153.0,96,6.3,99,73,78,84,99.0,5,SdssCutout,http://skyservice.pha.jhu.edu/sdsscutout/SdssCutout.asmx?WSDL
133.5,90,5.4,97,73,100,80,20.0,59,Pickup,http://www.saiasecure.com/webservice/pickup/soap.asmx?wsdl
320.0,91,23.3,97,73,89,62,237.0,6,Courses,http://www.quilogy.com/webservices/courselist.asmx?wsdl
251.8,94,1.9,98,67,100,82,37.8,1,fuzzproService,http://www.ebi.ac.uk/soaplab/emboss4/services/protein_motifs.fuzzpro.derived?wsdl
782.0,84,1.5,85,73,78,87,3.0,10,ReportReadingWS,http://rep.oio.dk/kmd.dk/energi/xml/wsdl/2005/07/05/ReportReadingWS.wsdl
316.3,84,2.0,85,53,89,66,120.13,12,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_local.wordmatch?wsdl
161.5,34,2.0,35,67,67,82,21.64,12,interopLab,http://soap.4s4c.com/ilab2/ilab.wsdl
